question_id,video_id,video_url,question,answer,option_0,option_1,option_2,option_3,option_4,correct_answer,movie_title,movie_caption,movie_synopsis
IvfOdVYQ_NE_04,IvfOdVYQ_NE,https://www.youtube.com/watch?v=IvfOdVYQ_NE,What concerns Morgan's family about Phil?,They are worried because he lives alone and many of his family members have committed suicide around the holidays.,They are anxious because he has been spending too much money and could lose his house.,They are worried because he lives alone and many of his family members have committed suicide around the holidays.,They are worried because he has been very distant and not attending family events.,They are troubled by his refusal to celebrate the holidays since his divorce.,"They are concerned he is drinking too much, especially during the holidays.",1,CHRISTMAS EVE EVE,"A woman goes home for the holidays, where she's forced to confront an unresolved family trauma.","Morgan is headed home to Kentucky for the holidays after a long while. Her parents are divorced, but she reconnects with both -- first with her mother Beverly and her new partner Jeff, who are packing up Morgan's old family home and moving to a new place.
On the way to one of her father Phil's family traditions -- a Christmas Eve Eve party -- she stops by his place. Phil lives alone, which worries his family because many of Phil's family have committed suicide around the holidays. Morgan finds her father embittered and angry, and they get into a fight -- one that forces them to confront her father's deep grief and sadness around the holidays."
IvfOdVYQ_NE_07,IvfOdVYQ_NE,https://www.youtube.com/watch?v=IvfOdVYQ_NE,How does Phil feel when Morgan visits him?,He is embittered and angry.,He is joyful and nostalgic.,He is embittered and angry.,He is sad but hopeful.,He is apathetic and distant.,He is surprised and awkward.,1,CHRISTMAS EVE EVE,"A woman goes home for the holidays, where she's forced to confront an unresolved family trauma.","Morgan is headed home to Kentucky for the holidays after a long while. Her parents are divorced, but she reconnects with both -- first with her mother Beverly and her new partner Jeff, who are packing up Morgan's old family home and moving to a new place.
On the way to one of her father Phil's family traditions -- a Christmas Eve Eve party -- she stops by his place. Phil lives alone, which worries his family because many of Phil's family have committed suicide around the holidays. Morgan finds her father embittered and angry, and they get into a fight -- one that forces them to confront her father's deep grief and sadness around the holidays."
XLhGaEGVex0_00,XLhGaEGVex0,https://www.youtube.com/watch?v=XLhGaEGVex0,Where does the Devlin family live?,On a remote farm in Australia,In a peaceful village in New Zealand,In a remote outpost in Canada,In a secluded town in the Scottish Highlands,On a remote farm in Australia,On a vast estate in the American Midwest,3,RITUAL,"When a strict Christian family's daughter disappears from their remote farm, the local cop is disturbed by what he uncovers.","The Devlin family lives on a remote farm in Australia, left alone to live an existence based upon the most important thing in their lives: God.
But when their eldest daughter disappears, a local cop's arrival ruptures their carefully isolated world. His investigation unearths disturbing aspects of the family, but the truth is much darker than anyone imagines."
XLhGaEGVex0_01,XLhGaEGVex0,https://www.youtube.com/watch?v=XLhGaEGVex0,What is the most important thing in the lives of the Devlin family?,God,Maintaining traditional values,Their land,God,Community service,Family loyalty,2,RITUAL,"When a strict Christian family's daughter disappears from their remote farm, the local cop is disturbed by what he uncovers.","The Devlin family lives on a remote farm in Australia, left alone to live an existence based upon the most important thing in their lives: God.
But when their eldest daughter disappears, a local cop's arrival ruptures their carefully isolated world. His investigation unearths disturbing aspects of the family, but the truth is much darker than anyone imagines."
XLhGaEGVex0_02,XLhGaEGVex0,https://www.youtube.com/watch?v=XLhGaEGVex0,What event leads to a local cop arriving at the Devlin family's farm?,The disappearance of their eldest daughter,"A sudden, unexplained illness among the livestock",The disappearance of their eldest daughter,A neighbor's complaint about strange noises at night,Reports of mysterious lights on the farm,The discovery of an ancient artifact on their land,1,RITUAL,"When a strict Christian family's daughter disappears from their remote farm, the local cop is disturbed by what he uncovers.","The Devlin family lives on a remote farm in Australia, left alone to live an existence based upon the most important thing in their lives: God.
But when their eldest daughter disappears, a local cop's arrival ruptures their carefully isolated world. His investigation unearths disturbing aspects of the family, but the truth is much darker than anyone imagines."
DVlzqev8npM_01,DVlzqev8npM,https://www.youtube.com/watch?v=DVlzqev8npM,What is the setting of the movie 'Lorne'?,A post-apocalyptic wasteland.,A post-apocalyptic wasteland.,A deserted metropolitan city.,A reclaimed forest village.,A thriving underground community.,An abandoned space colony.,0,LORNE ft. Guy Pearce,"A wasteland traveler struggles with the weight of isolation. Then he's confronted by a mysterious stranger, who helps him realize his existential fears.","In an unspecified post-apocalyptic wasteland, a man named Lorne has set up his existence on the edge of a great wilderness, hiding out from what the world has become. When he encounters a stranger who stumbles upon his camp, the ensuing conversation reveals just how isolated Lorne is, and what the psychological costs of such isolation are."
DVlzqev8npM_02,DVlzqev8npM,https://www.youtube.com/watch?v=DVlzqev8npM,What has Lorne done to adapt to his surroundings in the wasteland?,He has set up his existence on the edge of a great wilderness.,He has set up his existence on the edge of a great wilderness.,He has constructed a fortified settlement.,He has created an elaborate underground shelter.,He has allied with local factions for survival.,"He has become a nomad, constantly moving.",0,LORNE ft. Guy Pearce,"A wasteland traveler struggles with the weight of isolation. Then he's confronted by a mysterious stranger, who helps him realize his existential fears.","In an unspecified post-apocalyptic wasteland, a man named Lorne has set up his existence on the edge of a great wilderness, hiding out from what the world has become. When he encounters a stranger who stumbles upon his camp, the ensuing conversation reveals just how isolated Lorne is, and what the psychological costs of such isolation are."
DVlzqev8npM_03,DVlzqev8npM,https://www.youtube.com/watch?v=DVlzqev8npM,What triggers the main events in 'Lorne'?,A stranger stumbles upon Lorne's camp.,A distant signal beckons Lorne to explore.,Lorne is captured by a wandering tribe.,A stranger stumbles upon Lorne's camp.,Lorne discovers an abandoned city.,A violent storm forces Lorne into new territory.,2,LORNE ft. Guy Pearce,"A wasteland traveler struggles with the weight of isolation. Then he's confronted by a mysterious stranger, who helps him realize his existential fears.","In an unspecified post-apocalyptic wasteland, a man named Lorne has set up his existence on the edge of a great wilderness, hiding out from what the world has become. When he encounters a stranger who stumbles upon his camp, the ensuing conversation reveals just how isolated Lorne is, and what the psychological costs of such isolation are."
DVlzqev8npM_05,DVlzqev8npM,https://www.youtube.com/watch?v=DVlzqev8npM,Does the movie focus on multiple characters or mainly on Lorne?,Mainly on Lorne.,Mainly on Lorne.,On the inhabitants of a nearby settlement affected by Lorne's actions.,"On a group of survivors, including Lorne.",Equally on Lorne and the mysterious stranger.,On Lorne and his long-lost family.,0,LORNE ft. Guy Pearce,"A wasteland traveler struggles with the weight of isolation. Then he's confronted by a mysterious stranger, who helps him realize his existential fears.","In an unspecified post-apocalyptic wasteland, a man named Lorne has set up his existence on the edge of a great wilderness, hiding out from what the world has become. When he encounters a stranger who stumbles upon his camp, the ensuing conversation reveals just how isolated Lorne is, and what the psychological costs of such isolation are."
DVlzqev8npM_06,DVlzqev8npM,https://www.youtube.com/watch?v=DVlzqev8npM,What genre does the movie 'Lorne' best fit into?,Post-apocalyptic.,Survival Drama.,Fantasy.,Science Fiction.,Post-apocalyptic.,Psychological Thriller.,3,LORNE ft. Guy Pearce,"A wasteland traveler struggles with the weight of isolation. Then he's confronted by a mysterious stranger, who helps him realize his existential fears.","In an unspecified post-apocalyptic wasteland, a man named Lorne has set up his existence on the edge of a great wilderness, hiding out from what the world has become. When he encounters a stranger who stumbles upon his camp, the ensuing conversation reveals just how isolated Lorne is, and what the psychological costs of such isolation are."
TKGeXyYiLBo_00,TKGeXyYiLBo,https://www.youtube.com/watch?v=TKGeXyYiLBo,who are the two main characters ?,Pavan and Chloe,Pavan and Chloe,Pavan and Sophie,Raj and Chloe,Sam and Chloe,Pavan and Maya,0,TWO DOSAS,"A geek takes his date to the most authentic Indian restaurant in the city. To his horror she goes off-menu, in Hindi.","Pavan -- a teacher in London who grew up in England -- takes fellow educator Chloe on a date. Pavan aims to impress ""English rose"" Chloe by taking her to the most authentic Indian restaurant in the city and eventually winning her over with a confident ""heart on the sleeve, sleeve in her face"" approach to romance.
But then Chloe upend Pavan's expectations, ordering an ""authentic"" Indian dish off-menu, demonstrating a rapport with the restaurant staff by speaking Hindi and eventually revealing to Pavan her past romance with another Indian man, who she backpacked with through India.
Pavan -- who ordered the somewhat cliched dosas at the restaurant -- becomes insecure, questioning his own authenticity as an Indian when faced with Chloe's obvious fluency with his supposedly ""native"" culture. As the night's misadventures continue, Pavan realizes he must either accept himself as he is, or spend the evening trying to keep up in a race he may not win."
TKGeXyYiLBo_01,TKGeXyYiLBo,https://www.youtube.com/watch?v=TKGeXyYiLBo,What is Pavan's profession in the movie?,He is a teacher in London,He is a teacher in Birmingham,He is a teacher in London,He is a software engineer in London,He is a doctor in London,He is a chef in London,1,TWO DOSAS,"A geek takes his date to the most authentic Indian restaurant in the city. To his horror she goes off-menu, in Hindi.","Pavan -- a teacher in London who grew up in England -- takes fellow educator Chloe on a date. Pavan aims to impress ""English rose"" Chloe by taking her to the most authentic Indian restaurant in the city and eventually winning her over with a confident ""heart on the sleeve, sleeve in her face"" approach to romance.
But then Chloe upend Pavan's expectations, ordering an ""authentic"" Indian dish off-menu, demonstrating a rapport with the restaurant staff by speaking Hindi and eventually revealing to Pavan her past romance with another Indian man, who she backpacked with through India.
Pavan -- who ordered the somewhat cliched dosas at the restaurant -- becomes insecure, questioning his own authenticity as an Indian when faced with Chloe's obvious fluency with his supposedly ""native"" culture. As the night's misadventures continue, Pavan realizes he must either accept himself as he is, or spend the evening trying to keep up in a race he may not win."
TKGeXyYiLBo_02,TKGeXyYiLBo,https://www.youtube.com/watch?v=TKGeXyYiLBo,Where does Pavan take Chloe for their date?,To the most authentic Indian restaurant in the city,To a trendy fusion restaurant in the city,To the most authentic Indian restaurant in the city,To the oldest Indian restaurant in London,To a hidden street food market in the city,To a renowned Indian restaurant with a Michelin star,1,TWO DOSAS,"A geek takes his date to the most authentic Indian restaurant in the city. To his horror she goes off-menu, in Hindi.","Pavan -- a teacher in London who grew up in England -- takes fellow educator Chloe on a date. Pavan aims to impress ""English rose"" Chloe by taking her to the most authentic Indian restaurant in the city and eventually winning her over with a confident ""heart on the sleeve, sleeve in her face"" approach to romance.
But then Chloe upend Pavan's expectations, ordering an ""authentic"" Indian dish off-menu, demonstrating a rapport with the restaurant staff by speaking Hindi and eventually revealing to Pavan her past romance with another Indian man, who she backpacked with through India.
Pavan -- who ordered the somewhat cliched dosas at the restaurant -- becomes insecure, questioning his own authenticity as an Indian when faced with Chloe's obvious fluency with his supposedly ""native"" culture. As the night's misadventures continue, Pavan realizes he must either accept himself as he is, or spend the evening trying to keep up in a race he may not win."
TKGeXyYiLBo_04,TKGeXyYiLBo,https://www.youtube.com/watch?v=TKGeXyYiLBo,What does Pavan order at the restaurant?,He orders dosas,He orders paneer tikka,He orders biryani,He orders chicken tikka masala,He orders butter chicken,He orders dosas,4,TWO DOSAS,"A geek takes his date to the most authentic Indian restaurant in the city. To his horror she goes off-menu, in Hindi.","Pavan -- a teacher in London who grew up in England -- takes fellow educator Chloe on a date. Pavan aims to impress ""English rose"" Chloe by taking her to the most authentic Indian restaurant in the city and eventually winning her over with a confident ""heart on the sleeve, sleeve in her face"" approach to romance.
But then Chloe upend Pavan's expectations, ordering an ""authentic"" Indian dish off-menu, demonstrating a rapport with the restaurant staff by speaking Hindi and eventually revealing to Pavan her past romance with another Indian man, who she backpacked with through India.
Pavan -- who ordered the somewhat cliched dosas at the restaurant -- becomes insecure, questioning his own authenticity as an Indian when faced with Chloe's obvious fluency with his supposedly ""native"" culture. As the night's misadventures continue, Pavan realizes he must either accept himself as he is, or spend the evening trying to keep up in a race he may not win."
TKGeXyYiLBo_06,TKGeXyYiLBo,https://www.youtube.com/watch?v=TKGeXyYiLBo,How does Pavan feel after Chloe orders off-menu and speaks Hindi?,He becomes insecure and questions his own authenticity as an Indian,He is indifferent and focuses on enjoying the meal,He is confused but decides to learn Hindi as well,He feels relieved and happy she fits in,He is impressed and feels proud of her,He becomes insecure and questions his own authenticity as an Indian,4,TWO DOSAS,"A geek takes his date to the most authentic Indian restaurant in the city. To his horror she goes off-menu, in Hindi.","Pavan -- a teacher in London who grew up in England -- takes fellow educator Chloe on a date. Pavan aims to impress ""English rose"" Chloe by taking her to the most authentic Indian restaurant in the city and eventually winning her over with a confident ""heart on the sleeve, sleeve in her face"" approach to romance.
But then Chloe upend Pavan's expectations, ordering an ""authentic"" Indian dish off-menu, demonstrating a rapport with the restaurant staff by speaking Hindi and eventually revealing to Pavan her past romance with another Indian man, who she backpacked with through India.
Pavan -- who ordered the somewhat cliched dosas at the restaurant -- becomes insecure, questioning his own authenticity as an Indian when faced with Chloe's obvious fluency with his supposedly ""native"" culture. As the night's misadventures continue, Pavan realizes he must either accept himself as he is, or spend the evening trying to keep up in a race he may not win."
rIwL3CCcLr4_03,rIwL3CCcLr4,https://www.youtube.com/watch?v=rIwL3CCcLr4,What type of environment is Leah's home described as in the movie?,Leah's home is described as increasingly claustrophobic.,Leah's home is open and spacious but feels empty.,"Leah's home is in disrepair, highlighting their financial struggle.","Leah's home is modern and well-equipped, yet she feels disconnected from it.",Leah's home is a comforting and safe haven.,Leah's home is described as increasingly claustrophobic.,4,FRIGID,"Exhausted by her newborn, a first-time mother's home becomes a trap as her husband's sinister intentions emerge.","Leah, a young mother caring for her newborn at home. begins to chafe at the confines of her circumscribed life. Exhausted by the constant care of the baby and trapped in an increasingly claustrophobic house, she begins to question her husband Vincent's love and intentions as a more sinister side to him emerges."
hQ-XEhK7Or4_00,hQ-XEhK7Or4,https://www.youtube.com/watch?v=hQ-XEhK7Or4,who are the main characters ?,Henderson and Morris,Henderson and Morris,Howard and Martin,Henry and Mason,Harrison and Maxwell,Harper and Mitchell,0,BALANCE,"Two climbers are connected by a rope. But one falls, leaving the other in an uneasy balance.","Henderson and Morris are friends scaling a mountain together, linked by a rope for safety. While crossing an easy passage, Henderson slips and falls. Morris quickly uses himself as a counterweight to keep from plunging to their deaths -- but both climbers find themselves hanging over a deep abyss with the balance between them unstable and perilous.
This action-adventure short -- which was a 2013 selection for the Academy Award for Best Live Action Short -- is nearly dialogue free, but there is still plenty of suspense and drama as the two climbers attempt to solve their dilemma."
hQ-XEhK7Or4_01,hQ-XEhK7Or4,https://www.youtube.com/watch?v=hQ-XEhK7Or4,What activity are Henderson and Morris engaged in during the movie?,Scaling a mountain,Scaling a mountain,Deep sea diving,Desert trekking,River rafting,Exploring a cave,0,BALANCE,"Two climbers are connected by a rope. But one falls, leaving the other in an uneasy balance.","Henderson and Morris are friends scaling a mountain together, linked by a rope for safety. While crossing an easy passage, Henderson slips and falls. Morris quickly uses himself as a counterweight to keep from plunging to their deaths -- but both climbers find themselves hanging over a deep abyss with the balance between them unstable and perilous.
This action-adventure short -- which was a 2013 selection for the Academy Award for Best Live Action Short -- is nearly dialogue free, but there is still plenty of suspense and drama as the two climbers attempt to solve their dilemma."
hQ-XEhK7Or4_02,hQ-XEhK7Or4,https://www.youtube.com/watch?v=hQ-XEhK7Or4,How are Henderson and Morris connected during their climb?,By a rope,By a rope,By a safety harness,By a climbing peg,By a drone,By walkie-talkies,0,BALANCE,"Two climbers are connected by a rope. But one falls, leaving the other in an uneasy balance.","Henderson and Morris are friends scaling a mountain together, linked by a rope for safety. While crossing an easy passage, Henderson slips and falls. Morris quickly uses himself as a counterweight to keep from plunging to their deaths -- but both climbers find themselves hanging over a deep abyss with the balance between them unstable and perilous.
This action-adventure short -- which was a 2013 selection for the Academy Award for Best Live Action Short -- is nearly dialogue free, but there is still plenty of suspense and drama as the two climbers attempt to solve their dilemma."
hQ-XEhK7Or4_03,hQ-XEhK7Or4,https://www.youtube.com/watch?v=hQ-XEhK7Or4,What triggers the precarious situation between Henderson and Morris?,Henderson slips and falls,Henderson slips and falls,They encounter a wild animal,The rope begins to fray,A sudden avalanche,Morris loses his map,0,BALANCE,"Two climbers are connected by a rope. But one falls, leaving the other in an uneasy balance.","Henderson and Morris are friends scaling a mountain together, linked by a rope for safety. While crossing an easy passage, Henderson slips and falls. Morris quickly uses himself as a counterweight to keep from plunging to their deaths -- but both climbers find themselves hanging over a deep abyss with the balance between them unstable and perilous.
This action-adventure short -- which was a 2013 selection for the Academy Award for Best Live Action Short -- is nearly dialogue free, but there is still plenty of suspense and drama as the two climbers attempt to solve their dilemma."
hQ-XEhK7Or4_04,hQ-XEhK7Or4,https://www.youtube.com/watch?v=hQ-XEhK7Or4,What does Morris do to prevent both of them from plunging to their deaths?,He uses himself as a counterweight,He finds a stronger grip,He uses himself as a counterweight,He unties the rope,He calls for rescue,He rigs a makeshift anchor,1,BALANCE,"Two climbers are connected by a rope. But one falls, leaving the other in an uneasy balance.","Henderson and Morris are friends scaling a mountain together, linked by a rope for safety. While crossing an easy passage, Henderson slips and falls. Morris quickly uses himself as a counterweight to keep from plunging to their deaths -- but both climbers find themselves hanging over a deep abyss with the balance between them unstable and perilous.
This action-adventure short -- which was a 2013 selection for the Academy Award for Best Live Action Short -- is nearly dialogue free, but there is still plenty of suspense and drama as the two climbers attempt to solve their dilemma."
hQ-XEhK7Or4_05,hQ-XEhK7Or4,https://www.youtube.com/watch?v=hQ-XEhK7Or4,Where do both climbers find themselves hanging after the fall?,Over a deep abyss,Over a deep abyss,At the edge of a cliff,On the side of a glacier,Above a rushing river,Below a steep overhang,0,BALANCE,"Two climbers are connected by a rope. But one falls, leaving the other in an uneasy balance.","Henderson and Morris are friends scaling a mountain together, linked by a rope for safety. While crossing an easy passage, Henderson slips and falls. Morris quickly uses himself as a counterweight to keep from plunging to their deaths -- but both climbers find themselves hanging over a deep abyss with the balance between them unstable and perilous.
This action-adventure short -- which was a 2013 selection for the Academy Award for Best Live Action Short -- is nearly dialogue free, but there is still plenty of suspense and drama as the two climbers attempt to solve their dilemma."
hQ-XEhK7Or4_06,hQ-XEhK7Or4,https://www.youtube.com/watch?v=hQ-XEhK7Or4,How is the balance between Henderson and Morris described?,Unstable and perilous,Steady and secure,Dangerously skewed,Slightly tilted,Unstable and perilous,Perfectly aligned,3,BALANCE,"Two climbers are connected by a rope. But one falls, leaving the other in an uneasy balance.","Henderson and Morris are friends scaling a mountain together, linked by a rope for safety. While crossing an easy passage, Henderson slips and falls. Morris quickly uses himself as a counterweight to keep from plunging to their deaths -- but both climbers find themselves hanging over a deep abyss with the balance between them unstable and perilous.
This action-adventure short -- which was a 2013 selection for the Academy Award for Best Live Action Short -- is nearly dialogue free, but there is still plenty of suspense and drama as the two climbers attempt to solve their dilemma."
1yXoxxrJzkQ_00,1yXoxxrJzkQ,https://www.youtube.com/watch?v=1yXoxxrJzkQ,who is the main character ?,Duncan,Chris,Duncan,Michael,Ryan,Jacob,1,AT EASE,"Following an absence of three years, an on-leave Marine returns home to make amends with his ex-girlfriend on her wedding day.","Duncan is on leave from the Marines. He left his hometown three years ago, but only now has returned, just in time to face awkward questions from friends and family -- and make amends with his ex-girlfriend Kara on her wedding day.
But the meeting doesn't go quite as planned, leading Jacob and Kara on an unexpected path of reckoning."
1yXoxxrJzkQ_02,1yXoxxrJzkQ,https://www.youtube.com/watch?v=1yXoxxrJzkQ,How long had Duncan been away from his hometown before returning?,Three years.,Six months.,Three years.,Two years.,Five years.,Four years.,1,AT EASE,"Following an absence of three years, an on-leave Marine returns home to make amends with his ex-girlfriend on her wedding day.","Duncan is on leave from the Marines. He left his hometown three years ago, but only now has returned, just in time to face awkward questions from friends and family -- and make amends with his ex-girlfriend Kara on her wedding day.
But the meeting doesn't go quite as planned, leading Jacob and Kara on an unexpected path of reckoning."
