question_id,video_id,question,answer
gNVqRC4mcSI_02,gNVqRC4mcSI,What's odd about the creatures?,They have roots instead of legs. 
gNVqRC4mcSI_17,gNVqRC4mcSI,Where does the story takes place?,Inside a dark box. 
Gi__cddQCNU_16,Gi__cddQCNU,What do Pete and Mai do after leaving the bar?,They have a water fight in the street and then they have dinner. 
_ZrahHexT3M_08,_ZrahHexT3M,What does the protagonist look like in her second identity?,"She has a classic, conservative style, with glasses, a blouse, and a suit jacket."
zQe0iH_dz1E_05,zQe0iH_dz1E,Where does the movie take place?,In a suburban area of a modern city.
GBrKM_e8ZoI_03,GBrKM_e8ZoI,What is Zoe doing in the toilets?,She re-does her makeup.
Gi__cddQCNU_20,Gi__cddQCNU,What happens in the cafe?,He leaves the coffee machine as a present to Mia and she writes him a message on his cup.
PULMjny-Pf8_11,PULMjny-Pf8,What happens to the woman after she enters the toilet?,She does not keep it clean and got trapped too.
X66nawgM_G0_10,X66nawgM_G0,What is the second part they retrieve?,The right ventricle.
8iCW7aLc8bQ_09,8iCW7aLc8bQ,Why is Ricky frustrated at work?,"Because a new guy, Sergio, is getting all of the bookings."
OeLYRbqReAQ_05,OeLYRbqReAQ,What happens when they open the bag?,Marlo realizes that the dead woman is the girl he sees at coffee place.
PULMjny-Pf8_10,PULMjny-Pf8,How do we know that the protagonist learned the lesson?,He tells a woman to keep the toilet clean.
nsoo2P4OzPs_02,nsoo2P4OzPs,Where does the movie mostly take place?,On a parking lot.
X66nawgM_G0_02,X66nawgM_G0,Who are the main characters?,A man and a woman.
68f27rqP_NY_04,68f27rqP_NY,How does this time loop attempt ended?,"His brother dies in the forest, by falling on a cut trunk."
_ZrahHexT3M_03,_ZrahHexT3M,How do we learn about the fraud?,"In the trunk of her car, we discover that she has a bag for each of her identities, with associated names, and multiple driver's licenses."
1n8Nz99mYPY_07,1n8Nz99mYPY,What does the vampire Bolivar look like?,"He looks old, mature, tyrannical."
7mSH86O2qzA_07,7mSH86O2qzA,What radical decision does he decide to take to exit the time paradox?,He kills all different versions of himself.
OeLYRbqReAQ_04,OeLYRbqReAQ,What are Marlo and Jack gambling about?,If the dead person is a guy or a girl.
8fyjCygRaPc_02,8fyjCygRaPc,Why are they in the hangar?,To give the money from the heist to the boss.
VXI0Gn0Pwck_11,VXI0Gn0Pwck,How long are they supposed to stay under water?,Three minutes.
MjIPsj1jNS0_02,MjIPsj1jNS0,What is the number of the main character ?,810 365 7414
Nl93cPDVp4g_06,Nl93cPDVp4g,What is the genre of the movie?,Comedy.
bRxOkUvNnLI_01,bRxOkUvNnLI,Where does the movie take place?,In a computer simulation purgatory.
m-l8eAOW6Kc_03,m-l8eAOW6Kc,What is the name of the main character ?,Alex
7mSH86O2qzA_05,7mSH86O2qzA,What happens each time he goes into the bathroom?,He gets back in time.
oWwB6MLGWL8_12,oWwB6MLGWL8,What was the manager afraid of when they argue before the second fight?,He was afraid that Dan leaves him alone to join the US
7Q8WQ5AKcJE_15,7Q8WQ5AKcJE,How many people died for the shooting?,Four.
CmQneYZvTlM_04,CmQneYZvTlM,What happens to the baby dinosaur?,It gets bigger and starts to eat the villagers.
7hdROZZpQi4_06,7hdROZZpQi4,What is the mood in the early scenes?,Frightened.
_ZrahHexT3M_17,_ZrahHexT3M,What is the mood of the final scene?,Sadness and vulnerability.
8iCW7aLc8bQ_04,8iCW7aLc8bQ,How does Enid attempts to solve her insecurity?,"She hire Ricky, a male escort, to practice dating."
ONgh-9HPDnY_08,ONgh-9HPDnY,When does the final scene take place? ,During the competition
VXI0Gn0Pwck_09,VXI0Gn0Pwck,How many competitors are there in the final test?,Four.
QIWcjZE-vSM_10,QIWcjZE-vSM,What is the mood of the movie?,Light and warm.
1AvyUWUKCw8_06,1AvyUWUKCw8,Are people who play VR willing to accept a psychologist?,No.
mhxEnIp7YIg_05,mhxEnIp7YIg,What was the kind of gym that Teisha brought Jane to?,A boxing gym.
m-l8eAOW6Kc_08,m-l8eAOW6Kc,What are the main locations of the movie ?,"Bar, training room, scene"
